MAIN TERM,,,
5-Hour,5 Hour,,
7-Up,7 Up,7Up,
A1,A.1.,,
A1,A.1.,,
Act II,"Act II,",,
Activia,"Activia,",,
Adolph's,Adolph,,
Agnolotti,"Agnolotti,",,
Aidells,Aidells -,,
Air Wick,"Air Wick,",,
All Natural,"All Natural,",,
Amy's,Amys,,
Annie's,Annies,,
Apple & Eve,"Apple & Eve,",,
Applegate,Applegate -,,
Archer Farms,"Archer Farms,",Archer Farms-,
Armour,"Armour,",,
Atkins,"Atkins,",,
B&M,B & M,,
bacon,"bacon,",,
Baker's,"Baker's,",,
Ball Park,ballpark,,
Banana,"Banana,",,
Banquet,"Banquet,",,
Banquet Brown 'N Serve,Banquet Brown-n-Serve,,
bar,"bar,",,
Bar-S,Bar S,,
Barilla,"Barilla,",,
Bars,"Bars,",,
Barsotti's,Barsotti,,
Bauducco,"Bauducco,",,
Beans,"Beans,",,
Beef,"Beef,",,
Beer,"Beer,",,
Beetnik Paleo,"Beetnik Paleo,",,
Ben & Jerry's,Ben & Jerry;s,"Ben & Jerry's,",
Best Yet,"Best Yet,",,
Better For You,"Better For You,",,
Betty Crocker,"Betty Crocker,",,
Beverage,"Beverage,",,
Big Win,"Big Win,",,
Birds Eye,Bird's Eye,,
Blue Isle,"Blue Isle,",,
Bob's Red Mill,Bob's Red Mill -,,
Bobby Salazar's,Bobby Salazars,,
Bone-In,Bone In,,
Breaded,"breaded,",,
Bruce's,"Bruce's,",,
Bumble Bee,"Bumble Bee,",,
Burger,"Burger,",,
Burritos,"Burritos,",,
Bush's Best,"Bush's Best,",,
C. Wirthy,C.Wirthy,,
C&F,C & F,,
C&H,"C & H,",C & H,
C&W,C&W -,,
Campari,Compari,,
Campbell's,"Campbell's,",,
Campbell's,Campbells,,
Candy,"Candy,",,
Cap'N Crunch,"Cap'N Crunch,",Cap'n Crunch's,Capn Crunchs
Capri Sun,CapriSun,,
Cardini's,"Cardini's,",,
Cardini's,"Cardini's,",,
Challenge Dairy,"Challenge Dairy,",,
Cheese,"Cheese,",,
Cheez-It,Cheez It,"Cheez-it,",CHEEZ-ITS
Cheeze,"Cheeze,",,
Chef Boyardee,"Chef Boyardee,",,
Chicken,"Chicken,",,
Chobani,"Chobani,",,
chocolate,"chocolate,",,
Cinnabon,"Cinnabon,",,
Clif Bar,Cliff Bar,,
Clover Valley,"Clover Valley,",Clover Vally,
Coffee,"Coffee,",,
Coffee-Mate,Coffee Mate,"Coffee-Mate,",Coffeemate
Coke,Coca-Cola,,
Contadina,"Contadina,",,
Cookies,"Cookies,",,
Corn On The Cob,Corn-on-the-Cob,,
Cover Valley,"Cover Valley,",,
Cream,"Cream,",,
Crunchies,"Crunchies,",,
Crystal,"Crystal,",,
D'Anjou,D Anjou D'Anjou,DAnjou,
Daiya,"Daiya,",,
Dannon,"Dannon,",,
Danonino,"Danonino,",,
Darigold,Darigold -,"Darigold,",
Del Monte,"Del Monte,",,
Dennison's,"Dennison's,",,
Dip,"Dip,",,
Dole,Dole -,"Dole,",
Dragonfly,"Dragonfly,",,
Dressing,"Dressing,",,
Duncan Hines,"Duncan Hines,",,
Dunkin' Donuts,Dunkin Donuts,,
Earth's Best,"Earth's Best,",,
egg,"egg,",,
